DCHP3A,DCHP4A,DCHP4HRT,DCHP4HST,DCHPP3A,DCHPP4A,DCHWRNT,DCHWRT,DCHWSNF,DCHWSNT,DCHWSSF,DCHWSST,DCHWST,DCHWST2,DCRF1HRV,DCRF3HRV,DCHWDPL,DCHWDPS,DCHWP1RT,DCHWP1SP,DCHWP2RT,DCHWP2SP,DCHWSHON,DCHWNHON,DCHWP1SS,DCHWP2SS,DCHWRV,DCHWSNV,DCHWSSV,DCHWSV,DCRF1HSV,DCRF3HSV,DCHWEN,DCHWDP
-0.465,-0.96751,76.161,98.787,2.1825,-0.79501,78.168,100.5,0.062328,83.957,0.12499,82.651,82.032,84.8,0,0,55.249,3,1406.2,0,1110.6,0,71,71,0,0,0,0,0,0,0,0,0,0.90624
-0.465,-0.96751,76.161,98.675,2.1825,-0.79501,78.168,100.5,0.062328,82.953,0.12499,82.651,82.032,84.675,0,0,55.249,3,1406.2,0,1110.6,0,71,71,0,0,0,0,0,0,0,0,0,0.90624
-0.465,-0.96751,76.161,98.675,2.1825,-0.79501,78.168,100.5,0.062328,82.953,0.12499,82.651,82.032,84.475,0,0,55.249,3,1406.2,0,1110.6,0,71,71,0,0,0,0,0,0,0,0,0,0.90624
-0.465,-0.96751,76.161,98.562,2.1825,-0.79501,78.168,100.5,0.062328,82.953,0.12499,82.651,82.032,84.362,0,0,55.249,3,1406.2,0,1110.6,0,71,71,0,0,0,0,0,0,0,0,0,0.90624
-0.465,-0.96751,76.161,98.462,2.1825,-0.79501,78.168,100.5,0.062328,82.953,0.12499,82.651,82.032,84.25,0,0,55.249,3,1406.2,0,1110.6,0,71,71,0,0,0,0,0,0,0,0,0,0.90624
-0.465,-0.96751,75.143,98.35,2.1825,-0.79501,78.168,99.487,0.062328,82.953,0.12499,82.651,82.032,84.137,0,0,55.249,3,1406.2,0,1110.6,0,71,71,0,0,0,0,0,0,0,0,0,0.90624
-0.465,-0.96751,75.143,98.35,2.1825,-0.79501,78.168,99.487,0.062328,82.953,0.12499,82.651,82.032,84.037,0,0,55.249,3,1406.2,0,1110.6,0,71,71,0,0,0,0,0,0,0,0,0,0.90624
-0.465,-0.96751,75.143,98.237,2.1825,-0.79501,78.168,99.487,0.062328,82.953,0.12499,82.651,82.032,83.912,0,0,55.249,3,1406.2,0,1110.6,0,71,71,0,0,0,0,0,0,0,0,0,0.90624
-0.465,-0.96751,75.143,98.1,2.1825,-0.79501,78.168,99.487,0.062328,82.953,0.12499,81.647,82.032,83.787,0,0,55.249,3,1406.2,0,1110.6,0,71,71,0,0,0,0,0,0,0,0,0,0.90624
-0.465,-0.96751,75.143,98.1,2.1825,-0.79501,78.168,99.487,0.062328,82.953,0.12499,81.647,81.028,83.687,0,0,55.249,3,1406.2,0,1110.6,0,71,71,0,0,0,0,0,0,0,0,0,0.90624
